state,title,text,link
Alabama,University of Alabama-Tuscaloosa Out of State Merit Scholarships,"First time freshmen admitted to the University of Alabama by May 1, have a qualifying score on the ACT or SAT in February, and have at least a 3.0 cumulative high school GPA through December of the senior year will be eligible for an Out-of-State Merit Scholarship. Individual scholarship criteria varies. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-out-of-state-merit-scholarships
Alabama,University of South Alabama/Drama Assistantships/Scholarships,"The USA Dept. of Theatre & Dance offers a limited number of scholarships and assistantships, each with their own criteria and requirements. The Laidlaw Trust provides funds for both acting scholarships and tech/design shop assistantships. To qualify, students must be a drama major, be a full-time student and maintain a 2.5 GPA. For more information or to apply/audition, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-south-alabama-drama-assistantships-scholarships
Alabama,Wisconsin Architects Foundation Out-of-State Study Scholarship,"The Wisconsin Architects Foundation offers scholarships to outstanding Wisconsin students who are pursuing architectural studies out-of-state at a NAAB or CACB-accredited School of Architecture within a first professional degree or post-graduate degree program. In order to apply, the student must have received their high school diploma from a Wisconsin high school. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/wisconsin-architects-foundation-out-of-state-study-scholarship
Alabama,JSU Alabama Mildred Sheppard Scholarship,"The JSU Alabama Mildred Sheppard Scholarship is offered to students who commit to major in education and teach K-12 for no less than two years after graduation. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-mildred-sheppard-scholarship
Alabama,JSU Alabama Leadership Scholarship,"The JSU Alabama Leadership Scholarship was established for entering freshman or transfer students who held offices in extracurricular activities. Students must be unconditionally admitted into JSU with a minimum 3.0 GPA, and either a 20 ACT score or an SAT of 1030. This is renewable for four years. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-leadership-scholarship
Alabama,NAAMLP Land Reclamation Scholarship,"The NAAMLP Scholarship is to assist in the education of students whose intention is to work as scientists, engineers or technicians in the field of mine land reclamation. A scholarship will be given to three undergraduate students and one graduate student according to the following criteria: 1) an undergraduate student enrolled in a school in the Eastern region of the United States; 2) an undergraduate student enrolled in a school in the Mid-Continent region of the United States; 3) an undergraduate student enrolled in a school in the Western Region of the United States and; 4) to a graduate student enrolled in a school located anywhere within the United States. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/naamlp-land-reclamation-scholarship
Alabama,JSU Alabama Hallman Scholarship,"The Hallman Scholarship is offered to incoming freshmen who have graduated from Guntersville High School. For more information or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-hallman-scholarship
Alabama,JSU Alabama Jeff Parker Scholarship,"The JSU Alabama Jeff Parker Scholarship is for full-time junior or senior that our Commerce/Business majors. This scholarship was established by Mr. Jeffery A. Parker. For a complete list of available JSU Alabama Scholarships, please visit our website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-jeff-parker-scholarship
Alabama,ACHE Police Officers and Firefighters Survivors Educational Assistance Program,"The ACHE Police Officers and Firefighters Survivors Educational Assistance Program covers tuition, fees, books and supplies for dependents and eligible spouses of Alabama police officers and firefighters killed in the line of duty. There is no limit on the amount awarded to recipients. Awards are available for only undergraduate study at public institutions in Alabama. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-police-officers-and-firefighters-survivors-educational-assistance-program
Alabama,ACHE Student Grant Program,"The Alabama Student Grant Program is a state student assistance program established to provide financial assistance to residents of the State of Alabama for undergraduate, non-sectarian education at independent, non-profit, post-secondary institutions of higher learning located within the State of Alabama. Applicants must be a citizen of the United States or in the process of becoming a citizen. Must not be enrolled and not intend to enroll in a course of study leading to an undergraduate degree in theology, divinity, or other religious vocation. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-student-grant-program
